"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MT1E",111.682446256789,-0.349364365338939,0.382694036572998,-0.912907785204798,0.361291042657409,0.674605122436411
"ZMYM6",110.928264614957,0.0872908902228669,0.144133810048356,0.605623969792941,0.544764481643252,0.806574847771026
"OSBPL3",112.637363364606,-0.621764515744681,0.371539428853639,-1.67348191728425,0.0942324634127727,0.343242625252597
"ZNF554",111.332911270483,-0.316886826538007,0.160241991351872,-1.97755172576558,0.0479792997568699,0.232540728305316
"FKBP10",110.866030406004,0.629699841747236,0.184943956157429,3.4048143817753,0.000662090408349422,0.0120964678628897
"UBE2L6",109.761712870256,0.228101358065545,0.242519429743499,0.940548797705802,0.346936131572043,0.661013087167937
"WDYHV1",111.277740574858,0.230737835298681,0.156783177198268,1.47170021313504,0.141101850032499,0.428733841102331
"METTL21A",111.429513658164,-0.0333248117709115,0.153216288531451,-0.217501755788,0.827817338828459,0.936850771997844
"C2CD2",110.549656849137,-0.00655023503922858,0.154187578386526,-0.0424822486206255,0.966114262523002,0.98787156770968
"MYO6",110.900068668286,0.000521928938129877,0.193118111551537,0.00270264106218018,0.99784360704824,0.999179408396364
"CFAP410",111.298007001657,0.0769332557663725,0.196619121567644,0.391280640219445,0.695589807345892,0.880100075747108
"SFXN3",110.830045129871,-0.0470435744724831,0.159110597651534,-0.295665877489271,0.767485258493568,0.913197580893068
"TGFB1I1",110.853286437078,-0.172020222758992,0.215497661181746,-0.798246355972812,0.424727541404527,0.723106190500067
"CNRIP1",111.857761305749,0.590525309724501,0.206108214468786,2.86512263107269,0.00416847780001591,0.0461192859815255
"MECOM",110.138029344965,0.023954573736948,0.196088852159766,0.122161833643815,0.90277085234915,0.966456398700311
"ACOT1",115.015859877798,-0.636904902482162,0.409167794009748,-1.55658610429879,0.119568785052335,0.390556555542126
"C9orf64",109.926933089487,0.179604094247436,0.143599921264466,1.2507255760723,0.211034615905592,0.52617964232461
"RTL8A",110.60046723356,0.050404176688715,0.184247137575616,0.273568302617612,0.784416395851469,0.918644215292621
"ZNF562",110.677312079005,0.152819539333803,0.16389509933772,0.932422872626013,0.351118028804543,0.664557649143139
"CADM4",110.55871858875,0.0310753538530909,0.222707108198664,0.139534629605852,0.889027693121725,0.961315761152972
"ZNF343",111.701280254784,0.00202943723652008,0.156749908315423,0.0129469755888871,0.989670096659599,0.997222281115937
