"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CSRP3",29267.0637818233,-0.692393983178591,0.396857966768917,-1.7446896400136,0.0810389076281924,0.999808762331561
"CRYAB",28791.3445822859,-0.120810852228322,0.265440125471617,-0.455134098560546,0.649012768004897,0.999808762331561
"HSPB1",28620.9848096613,0.0103770962324624,0.295311612722644,0.0351394790634547,0.971968521098179,0.999808762331561
"BIN1",27440.4705599521,-0.048077452009753,0.157690193393184,-0.304885490817281,0.760453366647384,0.999808762331561
"COQ8A",25985.2309997963,0.0806591936144606,0.191013025332631,0.422270646067201,0.672827481325406,0.999808762331561
"PLEC",26323.0531950259,-0.018703931610384,0.175995160420297,-0.106275261011251,0.915363959267303,0.999808762331561
"NFE2L1",24960.6781950442,-0.0119856127474385,0.116515565422649,-0.102867052174205,0.918068487498356,0.999808762331561
"PFKM",23867.9209658422,-0.109059437919184,0.194635151988279,-0.560327550317072,0.575256038879091,0.999808762331561
"KIF1C",22415.8163849904,-0.0262138009556657,0.137036347168668,-0.191290861857264,0.848297720080253,0.999808762331561
"HSPA8",22228.227632242,-0.0529329417007517,0.143223456646903,-0.369582908693861,0.71169328770122,0.999808762331561
"MAP4",21812.3892135274,0.048048620581109,0.161365467315711,0.297762720738149,0.765884269128063,0.999808762331561
"ATP5F1A",21409.7701932592,0.0598201093153901,0.122515263593256,0.488266584594633,0.625361026918934,0.999808762331561
"GNAS",20485.646531474,-0.0365494429830827,0.088124806196428,-0.414746364396137,0.678327587322121,0.999808762331561
"MYL12A",20167.7522203409,-0.44543519932548,0.354685564535533,-1.25585939734758,0.209166951787448,0.999808762331561
"TPI1",19545.7130051792,-0.237794050206855,0.171725987530635,-1.38472955448536,0.166135178486829,0.999808762331561
"HSP90AB1",19469.6336826071,-0.0146526234579374,0.108060024003959,-0.135597077577926,0.892139815869891,0.999808762331561
"IDH2",19434.3790979156,-0.0206466970282176,0.120668799228008,-0.171102200074145,0.864143405975198,0.999808762331561
